subclass,Mcode,Code,Industry,AvgTotalAsset,RPA
1,3545,4966,M2324,16.53621354,0
2,5347,3105,M2324,17.72795536,0
3,8028,5285,M2324,15.43779687,0
4,2345,5388,M2327,17.21124445,0
5,3025,8176,M2327,13.80159142,0
6,3045,4904,M2327,18.83109443,0
7,4979,3234,M2327,14.64312641,0
8,6216,5353,M2327,14.37287824,0
9,6218,4908,M2327,14.32522492,0
10,6263,2444,M2327,14.35007603,0
11,2489,3019,M2326,16.84519493,0
12,3297,2429,M2326,13.69566823,0
13,3434,6560,M2326,13.15029088,0
14,3481,2409,M2326,19.83392555,0
15,3535,8049,M2326,14.57510036,0
16,3563,3615,M2326,14.96155373,0
17,5371,6116,M2326,17.77517927,0
18,2414,6281,M2329,15.75547991,0
19,3702,2347,M2329,18.93257033,0
20,2468,4994,M2330,14.50183361,0
21,2480,5203,M2330,15.44234917,0
22,3029,2427,M2330,15.34957778,0
23,3147,8416,M2330,14.17162568,0
24,5202,5210,M2330,13.61863958,0
25,6112,2453,M2330,15.20609789,0
26,6183,4953,M2330,15.00363311,0
27,6214,5403,M2330,15.13182293,0
28,6221,5410,M2330,14.786191,0
29,8099,6123,M2330,14.76773091,0
30,2903,2915,M2900,18.48740591,0
31,2201,2207,M2200,19.45645141,0
32,3044,2385,M2328,18.13735316,0
33,3645,2484,M2328,15.35513994,0
34,6173,6290,M2328,15.7629046,0
35,6203,8091,M2328,14.95691181,0
36,6204,3229,M2328,13.62986721,0
37,6220,3653,M2328,16.05411169,0
38,5703,5301,M2700,14.09675461,0
39,8103,8043,M2328,15.30742106,0
40,8077,2729,M2700,15.22682446,0
41,1303,1301,M1300,19.92845161,0
42,8411,1437,M9900,16.22078746,0
43,1304,1314,M1300,18.4784641,0
44,8916,2348,M9900,15.75322192,0
45,9933,5530,M9900,17.96128198,0
46,1402,1434,M1400,18.24418014,0
47,1409,1440,M1400,17.65277821,0
48,1454,1445,M1400,14.54722108,0
49,1460,1419,M1400,16.46412657,0
50,1466,1417,M1400,15.22476371,0
51,1473,4401,M1400,15.57438988,0
52,1474,1446,M1400,15.24099645,0
53,1477,1457,M1400,16.66582728,0
54,1313,1312,M1300,17.44238861,0
55,4433,1463,M1400,14.82809158,0
56,4536,5306,M3700,16.19116487,0
57,9904,9921,M3700,17.97019853,0
58,1504,2371,M1500,18.73652433,0
59,1532,1503,M1500,17.55866061,0
60,1560,1558,M1500,15.87748974,0
61,2049,1590,M1500,17.5150023,0
62,4534,2235,M1500,14.4083327,0
63,1734,3176,M1722,15.63221381,0
64,1784,4744,M1722,14.41048099,0
65,4188,6615,M1722,13.3994526,0
66,2425,5438,M2325,14.8129621,0
67,3005,3017,M2325,17.49817231,0
68,3211,2387,M2325,16.67216826,0
69,3483,3060,M2325,15.51565081,0
70,3652,3002,M2325,14.43780186,0
71,3706,6121,M2325,17.88448812,0
72,6277,3611,M2325,15.72361004,0
73,8234,1569,M2325,15.72172176,0
74,2515,2545,M2500,17.57758624,0
75,1718,1722,M1721,18.16254601,0
76,4721,1776,M1721,14.46660886,0
77,2464,6409,M2331,16.1955298,0
78,6613,5225,M2331,15.52879246,0
79,5903,8464,M3800,16.97668473,0
80,2607,2208,M2600,17.32003196,0
81,2609,2610,M2600,19.40880518,0
82,2618,2603,M2600,19.56479469,0
83,5609,8367,M2600,15.79358857,0
84,2337,3034,M2324,17.96482457,0
85,2340,3413,M2324,16.18753952,0
86,2454,2330,M2324,19.92845161,0
1,4966,3545,M2324,16.52587089,1
2,3105,5347,M2324,17.73114878,1
3,5285,8028,M2324,15.40813412,1
4,5388,2345,M2327,17.1901938,1
5,8176,3025,M2327,13.81776769,1
6,4904,3045,M2327,18.94969144,1
7,3234,4979,M2327,14.6400865,1
8,5353,6216,M2327,14.36187125,1
9,4908,6218,M2327,14.30052981,1
10,2444,6263,M2327,14.34276331,1
11,3019,2489,M2326,16.79339514,1
12,2429,3297,M2326,13.66888052,1
13,6560,3434,M2326,13.18046863,1
14,2409,3481,M2326,19.80943634,1
15,8049,3535,M2326,14.63993611,1
16,3615,3563,M2326,15.01617315,1
17,6116,5371,M2326,17.76873156,1
18,6281,2414,M2329,15.80054715,1
19,2347,3702,M2329,19.27838578,1
20,4994,2468,M2330,14.4155491,1
21,5203,2480,M2330,15.49413945,1
22,2427,3029,M2330,15.52199148,1
23,8416,3147,M2330,14.32331063,1
24,5210,5202,M2330,13.6255124,1
25,2453,6112,M2330,15.88543271,1
26,4953,6183,M2330,14.95874878,1
27,5403,6214,M2330,16.94881619,1
28,5410,6221,M2330,14.88093761,1
29,6123,8099,M2330,14.82724036,1
30,2915,2903,M2900,18.60650268,1
31,2207,2201,M2200,19.55672879,1
32,2385,3044,M2328,18.1307155,1
33,2484,3645,M2328,15.34815941,1
34,6290,6173,M2328,15.76259966,1
35,8091,6203,M2328,14.95011376,1
36,3229,6204,M2328,13.6292332,1
37,3653,6220,M2328,16.01186646,1
38,5301,5703,M2700,14.11862567,1
39,8043,8103,M2328,15.31017289,1
40,2729,8077,M2700,15.22229933,1
41,1301,1303,M1300,19.92845161,1
42,1437,8411,M9900,16.21176215,1
43,1314,1304,M1300,18.11711851,1
44,2348,8916,M9900,15.83953289,1
45,5530,9933,M9900,18.16507228,1
46,1434,1402,M1400,19.92845161,1
47,1440,1409,M1400,18.92198564,1
48,1445,1454,M1400,14.54197128,1
49,1419,1460,M1400,16.41554929,1
50,1417,1466,M1400,15.08444681,1
51,4401,1473,M1400,15.53422601,1
52,1446,1474,M1400,15.17694821,1
53,1457,1477,M1400,16.6586887,1
54,1312,1313,M1300,17.67173603,1
55,1463,4433,M1400,14.83614196,1
56,5306,4536,M3700,16.20452183,1
57,9921,9904,M3700,19.63560466,1
58,2371,1504,M1500,18.49188439,1
59,1503,1532,M1500,17.60772338,1
60,1558,1560,M1500,15.89084275,1
61,1590,2049,M1500,17.6742415,1
62,2235,4534,M1500,14.41132692,1
63,3176,1734,M1722,15.61728943,1
64,4744,1784,M1722,14.39626983,1
65,6615,4188,M1722,13.41337382,1
66,5438,2425,M2325,14.76774045,1
67,3017,3005,M2325,17.27198322,1
68,2387,3211,M2325,16.69443962,1
69,3060,3483,M2325,15.52000534,1
70,3002,3652,M2325,14.44439586,1
71,6121,3706,M2325,17.91081689,1
72,3611,6277,M2325,15.75336738,1
73,1569,8234,M2325,15.75039996,1
74,2545,2515,M2500,17.56741884,1
75,1722,1718,M1721,19.92845161,1
76,1776,4721,M1721,14.58561681,1
77,6409,2464,M2331,16.28613843,1
78,5225,6613,M2331,15.53495172,1
79,8464,5903,M3800,17.7359638,1
80,2208,2607,M2600,17.41340129,1
81,2610,2609,M2600,19.21895976,1
82,2603,2618,M2600,19.50566406,1
83,8367,5609,M2600,15.67249891,1
84,3034,2337,M2324,17.97046884,1
85,3413,2340,M2324,16.17898004,1
86,2330,2454,M2324,19.88711061,1
